Rule ID,Title,Severity,STIG Category,Risk Rating,Description
xccdf_org.ssgproject.content_rule_chronyd_specify_remote_server,A remote time server for Chrony is configured,medium,CAT II,Medium,"Chrony is a daemon which implements the Network Time Protocol (NTP). It is designed to synchronize system clocks across a variety of systems and use a source that is highly accurate. More information on chrony can be found at https://chrony-project.org/. Chrony can be configured to be a client and/or a server. Add or edit server or pool lines to /etc/chrony/chrony.conf as appropriate: server <remote-server> Alternatively, server or pool directives can be specified in files included via sourcedir or confdir directives in /etc/chrony/chrony.conf. When using sourcedir, create .sources files in the specified directory: # In /etc/chrony/chrony.conf: sourcedir /etc/chrony/sources.d # In /etc/chrony/sources.d/ntp.sources: server 0.pool.ntp.org When using confdir, create .conf files in the specified directory: # In /etc/chrony/chrony.conf: confdir /etc/chrony/conf.d # In /etc/chrony/conf.d/ntp-servers.conf: pool 1.pool.ntp.org Multiple servers may be configured."
xccdf_org.ssgproject.content_rule_chronyd_or_ntpd_set_maxpoll,Configure Time Service Maxpoll Interval,medium,CAT II,Medium,"The maxpoll should be configured to in /etc/ntp.conf or /etc/chrony/chrony.conf (or /etc/chrony/conf.d/) to continuously poll time servers. To configure maxpoll in /etc/ntp.conf or /etc/chrony/chrony.conf (or /etc/chrony/conf.d/) add the following after each server, pool or peer entry: maxpoll to server directives. If using chrony, any pool directives should be configured too."
xccdf_org.ssgproject.content_rule_chronyd_sync_clock,Synchronize internal information system clocks,medium,CAT II,Medium,Synchronizing internal information system clocks provides uniformity of time stamps for information systems with multiple system clocks and systems connected over a network.
xccdf_org.ssgproject.content_rule_sshd_set_keepalive,Set SSH Client Alive Count Max,medium,CAT II,Medium,"The SSH server sends at most ClientAliveCountMax messages during a SSH session and waits for a response from the SSH client. The option ClientAliveInterval configures timeout after each ClientAliveCountMax message. If the SSH server does not receive a response from the client, then the connection is considered unresponsive and terminated. For SSH earlier than v8.2, a ClientAliveCountMax value of 0 causes a timeout precisely when the ClientAliveInterval is set. Starting with v8.2, a value of 0 disables the timeout functionality completely. If the option is set to a number greater than 0, then the session will be disconnected after ClientAliveInterval * ClientAliveCountMax seconds without receiving a keep alive message."
xccdf_org.ssgproject.content_rule_sshd_set_idle_timeout,Set SSH Client Alive Interval,medium,CAT II,Medium,"SSH allows administrators to set a network responsiveness timeout interval. After this interval has passed, the unresponsive client will be automatically logged out. To set this timeout interval, edit the following line in /etc/ssh/sshd_config as follows: ClientAliveInterval The timeout interval is given in seconds. For example, have a timeout of 10 minutes, set interval to 600. If a shorter timeout has already been set for the login shell, that value will preempt any SSH setting made in /etc/ssh/sshd_config. Keep in mind that some processes may stop SSH from correctly detecting that the user is idle."
xccdf_org.ssgproject.content_rule_sshd_disable_empty_passwords,Disable SSH Access via Empty Passwords,high,CAT I,High,"Disallow SSH login with empty passwords. The default SSH configuration disables logins with empty passwords. The appropriate configuration is used if no value is set for PermitEmptyPasswords. To explicitly disallow SSH login from accounts with empty passwords, add or correct the following line in /etc/ssh/sshd_config.d/00-complianceascode-hardening.conf: PermitEmptyPasswords no Any accounts with empty passwords should be disabled immediately, and PAM configuration should prevent users from being able to assign themselves empty passwords."
xccdf_org.ssgproject.content_rule_sshd_disable_x11_forwarding,Disable X11 Forwarding,medium,CAT II,Medium,"The X11Forwarding parameter provides the ability to tunnel X11 traffic through the connection to enable remote graphic connections. SSH has the capability to encrypt remote X11 connections when SSH's X11Forwarding option is enabled. The default SSH configuration disables X11Forwarding. The appropriate configuration is used if no value is set for X11Forwarding. To explicitly disable X11 Forwarding, add or correct the following line in /etc/ssh/sshd_config.d/00-complianceascode-hardening.conf: X11Forwarding no"
xccdf_org.ssgproject.content_rule_sshd_do_not_permit_user_env,Do Not Allow SSH Environment Options,medium,CAT II,Medium,"Ensure that users are not able to override environment variables of the SSH daemon. The default SSH configuration disables environment processing. The appropriate configuration is used if no value is set for PermitUserEnvironment. To explicitly disable Environment options, add or correct the following /etc/ssh/sshd_config.d/00-complianceascode-hardening.conf: PermitUserEnvironment no"
xccdf_org.ssgproject.content_rule_sshd_enable_pubkey_auth,Enable Public Key Authentication,medium,CAT II,Medium,"Enable SSH login with public keys. The default SSH configuration enables authentication based on public keys. The appropriate configuration is used if no value is set for PubkeyAuthentication. To explicitly enable Public Key Authentication, add or correct the following /etc/ssh/sshd_config.d/00-complianceascode-hardening.conf: PubkeyAuthentication yes"
xccdf_org.ssgproject.content_rule_sshd_enable_warning_banner_net,Enable SSH Warning Banner,medium,CAT II,Medium,"To enable the warning banner and ensure it is consistent across the system, add or correct the following line in /etc/ssh/sshd_config.d/00-complianceascode-hardening.conf: Banner /etc/issue.net Another section contains information on how to create an appropriate system-wide warning banner."
xccdf_org.ssgproject.content_rule_sshd_use_approved_ciphers_ordered_stig,Use Only FIPS 140-2 Validated Ciphers,medium,CAT II,Medium,"Limit the ciphers to those algorithms which are FIPS-approved. The following line in /etc/ssh/sshd_config demonstrates use of FIPS-approved ciphers: Ciphers aes256-ctr,aes192-ctr,aes128-ctr If this line does not contain these ciphers in exact order, is commented out, or is missing, this is a finding."
xccdf_org.ssgproject.content_rule_sshd_use_approved_kex_ordered_stig,Use Only FIPS 140-2 Validated Key Exchange Algorithms,medium,CAT II,Medium,"Limit the key exchange algorithms to those which are FIPS-approved. Add or modify the following line in /etc/ssh/sshd_config KexAlgorithms ecdh-sha2-nistp256,ecdh-sha2-nistp384,ecdh-sha2-nistp521,diffie-hellman-group-exchange-sha256 This rule ensures that only the key exchange algorithms mentioned above (or their subset) are configured for use, keeping the given order of algorithms."
xccdf_org.ssgproject.content_rule_sshd_use_approved_macs_ordered_stig,Use Only FIPS 140-2 Validated MACs,medium,CAT II,Medium,"Limit the MACs to those hash algorithms which are FIPS-approved. The following line in /etc/ssh/sshd_config demonstrates use of FIPS-approved MACs: MACs hmac-sha2-512,hmac-sha2-256 If this line does not contain these MACs in exact order, is commented out, or is missing, this is a finding."
xccdf_org.ssgproject.content_rule_sshd_x11_use_localhost,Prevent remote hosts from connecting to the proxy display,medium,CAT II,Medium,"The SSH daemon should prevent remote hosts from connecting to the proxy display. The default SSH configuration for X11UseLocalhost is yes, which prevents remote hosts from connecting to the proxy display. To explicitly prevent remote connections to the proxy display, add or correct the following line in /etc/ssh/sshd_config.d/00-complianceascode-hardening.conf: X11UseLocalhost yes"
xccdf_org.ssgproject.content_rule_service_sssd_enabled,Enable the SSSD Service,medium,CAT II,Medium,The SSSD service should be enabled. The sssd service can be enabled with the following command: $ sudo systemctl enable sssd.service
xccdf_org.ssgproject.content_rule_sssd_certification_path_trust_anchor,Certificate trust path in SSSD,medium,CAT II,Medium,Enable certification trust path for SSSD to an accepted trust anchor.
xccdf_org.ssgproject.content_rule_sssd_enable_pam_services,Configure PAM in SSSD Services,medium,CAT II,Medium,"SSSD should be configured to run SSSD pam services. To configure SSSD to known SSH hosts, add pam to services under the [sssd] section in /etc/sssd/sssd.conf. For example: [sssd] services = sudo, autofs, pam"
xccdf_org.ssgproject.content_rule_sssd_enable_smartcards,Enable Smartcards in SSSD,medium,CAT II,Medium,"SSSD should be configured to authenticate access to the system using smart cards. To enable smart cards in SSSD, set pam_cert_auth to True under the [pam] section in /etc/sssd/sssd.conf. For example: [pam] pam_cert_auth = True"
xccdf_org.ssgproject.content_rule_sssd_enable_user_cert,Enable Certificates Mapping in SSSD,medium,CAT II,Medium,"SSSD needs to be set up to link the authenticated identity to the user or group account for PKI-based authentication. To implement this, confirm that the /etc/sssd/sssd.conf file contains the following line ldap_user_certificate=userCertificate;binary"
xccdf_org.ssgproject.content_rule_sssd_offline_cred_expiration,Configure SSSD to Expire Offline Credentials,medium,CAT II,Medium,"SSSD should be configured to expire offline credentials after 1 day. To configure SSSD to expire offline credentials, set offline_credentials_expiration to 1 under the [pam] section in /etc/sssd/sssd.conf. For example: [pam] offline_credentials_expiration = 1"
xccdf_org.ssgproject.content_rule_package_audit-audispd-plugins_installed,Ensure the default plugins for the audit dispatcher are Installed,medium,CAT II,Medium,The audit-audispd-plugins package should be installed.
xccdf_org.ssgproject.content_rule_package_audit_installed,Ensure the audit Subsystem is Installed,medium,CAT II,Medium,The audit package should be installed.
xccdf_org.ssgproject.content_rule_grub2_audit_argument,Enable Auditing for Processes Which Start Prior to the Audit Daemon,low,CAT III,Low,"To ensure all processes can be audited, even those which start prior to the audit daemon, add the argument audit=1 to the default GRUB 2 command line for the Linux operating system. To ensure that audit=1 is added as a kernel command line argument to newly installed kernels, add audit=1 to the default Grub2 command line for Linux operating systems. Modify the line within /etc/default/grub as shown below: GRUB_CMDLINE_LINUX=""... audit=1 ..."" Run the following command to update command line for already installed kernels:# update-grub"
